query_id,protein_name,organism,e-value,score
NP_115865.1, 28S ribosomal protein S6,Homo sapiens,9.86357e-87,657.0
XP_030860938.1, 28S ribosomal protein S6,Gorilla gorilla gorilla,4.60349e-85,662.0
XP_531445.5, 28S ribosomal protein S6,Pan troglodytes,1.67861e-84,666.0
XP_030661870.1, 28S ribosomal protein S6,Nomascus leucogenys,1.34039e-82,630.0
XP_007962487.1, 28S ribosomal protein S6,Chlorocebus sabaeus,5.64738e-82,626.0
XP_033088281.1, 28S ribosomal protein S6,Trachypithecus francoisi,2.93018e-81,621.0
XP_025233866.1, 28S ribosomal protein S6,Theropithecus gelada,3.41689e-81,621.0
XP_030770151.1, 28S ribosomal protein S6,Rhinopithecus roxellana,6.60153e-81,619.0
XP_050640613.1, 28S ribosomal protein S6,Macaca thibetana thibetana,1.08182e-80,617.0
XP_023046689.1, 28S ribosomal protein S6,Piliocolobus tephrosceles,1.08182e-80,617.0
XP_028701175.1, 28S ribosomal protein S6,Macaca mulatta,8.15157e-80,612.0
XP_024095127.1, 28S ribosomal protein S6,Pongo abelii,3.21421e-79,608.0
XP_021525065.1, 28S ribosomal protein S6,Aotus nancymaae,3.39553e-79,608.0
XP_011892984.1, PREDICTED: LOW QUALITY PROTEIN: 28S ribosomal protein S6,Cercocebus atys,4.40607e-79,615.0
XP_009200561.1, 28S ribosomal protein S6,Papio anubis,4.51689e-79,607.0
XP_035138938.1, 28S ribosomal protein S6,Callithrix jacchus,7.00653e-79,606.0
XP_032132856.1, 28S ribosomal protein S6,Sapajus apella,8.08106e-79,605.0
XP_039336353.1, 28S ribosomal protein S6,Saimiri boliviensis boliviensis,2.73245e-78,602.0
XP_017381672.1, 28S ribosomal protein S6,Cebus imitator,2.82392e-78,602.0
XP_030616784.1, 28S ribosomal protein S6,Delphinapterus leucas,1.56783e-76,590.0
XP_012602503.1, 28S ribosomal protein S6,Microcebus murinus,1.58525e-76,590.0
XP_044106914.1, 28S ribosomal protein S6,Neogale vison,2.04027e-76,589.0
XP_020018366.1, 28S ribosomal protein S6,Castor canadensis,2.65526e-76,589.0
XP_045859013.1, 28S ribosomal protein S6,Meles meles,3.19966e-76,588.0
XP_026897465.1, 28S ribosomal protein S6,Acinonyx jubatus,5.12921e-76,587.0
XP_022371620.1, 28S ribosomal protein S6,Enhydra lutris kenyoni,5.18581e-76,587.0
XP_011363969.1, 28S ribosomal protein S6,Pteropus vampyrus,5.3009e-76,587.0
XP_029069967.1, 28S ribosomal protein S6,Monodon monoceros,5.66061e-76,592.0
XP_032210170.1, 28S ribosomal protein S6,Mustela erminea,6.31841e-76,586.0
XP_017912357.1, PREDICTED: 28S ribosomal protein S6,Capra hircus,6.67481e-76,586.0
XP_036706368.1, 28S ribosomal protein S6,Balaenoptera musculus,9.37972e-76,585.0
XP_036207049.1, 28S ribosomal protein S6,Myotis myotis,9.90879e-76,585.0
XP_025727644.1, 28S ribosomal protein S6,Callorhinus ursinus,1.30369e-75,584.0
XP_019585809.1, PREDICTED: 28S ribosomal protein S6,Rhinolophus sinicus,1.5036e-75,584.0
NP_536704.1, 28S ribosomal protein S6,Mus musculus,1.65975e-75,583.0
XP_032252878.1, 28S ribosomal protein S6,Phoca vitulina,1.87264e-75,583.0
XP_020748317.1, 28S ribosomal protein S6,Odocoileus virginianus texanus,2.66054e-75,582.0
XP_034873539.1, 28S ribosomal protein S6,Mirounga leonina,2.87297e-75,582.0
XP_021065294.1, 28S ribosomal protein S6,Mus pahari,3.10245e-75,582.0
