query_id,protein_name,organism,e-value,score
NP_057149.1, 28S ribosomal protein S16,Homo sapiens,4.4135700000000003e-97,727.0
NP_001124756.1, 28S ribosomal protein S16,Pongo abelii,2.50694e-95,716.0
XP_012315668.1, 28S ribosomal protein S16,Aotus nancymaae,9.566069999999999e-95,712.0
XP_002756286.1, 28S ribosomal protein S16,Callithrix jacchus,4.44755e-94,708.0
XP_003939859.1, 28S ribosomal protein S16,Saimiri boliviensis boliviensis,8.045220000000002e-94,706.0
XP_032112254.1, 28S ribosomal protein S16,Sapajus apella,1.7732e-93,704.0
XP_017383519.1, 28S ribosomal protein S16,Cebus imitator,4.22031e-93,701.0
XP_010371385.1, 28S ribosomal protein S16,Rhinopithecus roxellana,5.6761e-93,700.0
XP_033065500.1, 28S ribosomal protein S16,Trachypithecus francoisi,9.09966e-93,699.0
XP_011783318.1, PREDICTED: 28S ribosomal protein S16,Colobus angolensis palliatus,5.32695e-92,694.0
XP_023060738.1, 28S ribosomal protein S16,Piliocolobus tephrosceles,1.17404e-91,692.0
XP_047408475.1, 28S ribosomal protein S16,Sciurus carolinensis,1.49555e-90,684.0
XP_007961262.1, 28S ribosomal protein S16,Chlorocebus sabaeus,2.05953e-90,684.0
XP_008062473.1, 28S ribosomal protein S16,Carlito syrichta,6.2984e-90,680.0
XP_006170123.1, 28S ribosomal protein S16,Tupaia chinensis,1.10237e-89,679.0
XP_047616680.1, 28S ribosomal protein S16,Phacochoerus africanus,1.40343e-89,678.0
NP_001244833.1, 28S ribosomal protein S16,Macaca mulatta,1.46881e-89,678.0
XP_003783798.1, 28S ribosomal protein S16,Otolemur garnettii,1.86843e-89,678.0
XP_006731206.1, 28S ribosomal protein S16,Leptonychotes weddellii,2.1297e-89,677.0
XP_029787787.1, 28S ribosomal protein S16,Suricata suricatta,2.27466e-89,677.0
XP_037353076.1, 28S ribosomal protein S16,Talpa occidentalis,2.37675e-89,677.0
XP_003483547.1, 28S ribosomal protein S16,Sus scrofa,6.10803e-89,674.0
XP_038166005.1, 28S ribosomal protein S16,Arvicola amphibius,7.6073e-89,673.0
XP_032696510.1, 28S ribosomal protein S16,Lontra canadensis,8.30543e-89,673.0
XP_004657875.2, 28S ribosomal protein S16,Jaculus jaculus,1.04582e-88,672.0
XP_004021517.1, 28S ribosomal protein S16,Ovis aries,1.0927499999999999e-88,672.0
XP_032773361.1, 28S ribosomal protein S16,Rattus rattus,1.1293299999999999e-88,672.0
XP_008580394.1, PREDICTED: 28S ribosomal protein S16,Galeopterus variegatus,1.39118e-88,672.0
XP_003994100.1, 28S ribosomal protein S16,Felis catus,1.5356099999999998e-88,671.0
XP_009212967.2, 28S ribosomal protein S16,Papio anubis,1.5894999999999998e-88,671.0
XP_004383291.1, 28S ribosomal protein S16,Trichechus manatus latirostris,1.64014e-88,671.0
XP_012881059.1, PREDICTED: 28S ribosomal protein S16,Dipodomys ordii,1.69504e-88,671.0
XP_036784578.1, 28S ribosomal protein S16,Manis pentadactyla,2.1343899999999998e-88,670.0
XP_006173463.1, 28S ribosomal protein S16,Camelus ferus,2.25478e-88,670.0
XP_048282366.1, 28S ribosomal protein S16,Myodes glareolus,2.62926e-88,670.0
XP_042764147.1, 28S ribosomal protein S16,Panthera leo,2.80823e-88,670.0
NP_001102988.1, 28S ribosomal protein S16,Rattus norvegicus,2.90223e-88,669.0
XP_025706368.1, 28S ribosomal protein S16,Callorhinus ursinus,3.3473e-88,669.0
XP_028614462.1, 28S ribosomal protein S16,Grammomys surdaster,3.3473e-88,669.0
NP_001068942.1, 28S ribosomal protein S16,Bos taurus,3.61459e-88,669.0
XP_004769524.1, 28S ribosomal protein S16,Mustela putorius furo,4.07839e-88,668.0
XP_003473835.1, 28S ribosomal protein S16,Cavia porcellus,4.07839e-88,668.0
XP_045697809.1, 28S ribosomal protein S16,Phyllostomus hastatus,5.24945e-88,668.0
XP_034355044.1, 28S ribosomal protein S16,Arvicanthis niloticus,5.36595e-88,668.0
XP_022355773.1, 28S ribosomal protein S16,Enhydra lutris kenyoni,5.85838e-88,667.0
XP_048194974.1, 28S ribosomal protein S16,Perognathus longimembris pacificus,5.85838e-88,667.0
XP_006219045.1, 28S ribosomal protein S16,Vicugna pacos,6.906719999999999e-88,667.0
XP_005325974.1, 28S ribosomal protein S16,Ictidomys tridecemlineatus,8.142659999999999e-88,666.0
XP_036911792.1, 28S ribosomal protein S16,Sturnira hondurensis,8.69689e-88,666.0
XP_045882476.1, 28S ribosomal protein S16,Meles meles,1.03663e-87,666.0
XP_004273174.1, 28S ribosomal protein S16,Orcinus orca,1.2630399999999999e-87,665.0
XP_007938901.1, 28S ribosomal protein S16,Orycteropus afer afer,1.44083e-87,665.0
XP_040832026.1, 28S ribosomal protein S16,Ochotona curzoniae,1.4441099999999998e-87,665.0
XP_028368937.1, 28S ribosomal protein S16,Phyllostomus discolor,1.8342999999999999e-87,664.0
XP_036986420.1, 28S ribosomal protein S16,Artibeus jamaicensis,1.85454e-87,664.0
XP_012420185.1, PREDICTED: 28S ribosomal protein S16,Odobenus rosmarus divergens,1.92288e-87,671.0
XP_007167737.1, 28S ribosomal protein S16,Balaenoptera acutorostrata scammoni,2.1864e-87,664.0
XP_026985722.1, 28S ribosomal protein S16,Lagenorhynchus obliquidens,2.2595899999999997e-87,664.0
XP_017518668.2, 28S ribosomal protein S16,Manis javanica,2.69938e-87,663.0
XP_007110926.1, 28S ribosomal protein S16,Physeter catodon,2.72304e-87,663.0
XP_045425122.1, 28S ribosomal protein S16,Lemur catta,3.7434699999999997e-87,662.0
XP_020750714.1, 28S ribosomal protein S16,Odocoileus virginianus texanus,3.8265499999999997e-87,662.0
XP_030718454.1, 28S ribosomal protein S16,Globicephala melas,3.8687699999999997e-87,662.0
XP_012617973.1, 28S ribosomal protein S16,Microcebus murinus,4.223799999999999e-87,662.0
XP_040098424.1, 28S ribosomal protein S16,Oryx dammah,4.41334e-87,662.0
XP_036055420.1, 28S ribosomal protein S16,Onychomys torridus,4.6114e-87,662.0
XP_051057935.1, 28S ribosomal protein S16,Phodopus roborovskii,4.6622799999999995e-87,662.0
XP_012518771.1, PREDICTED: 28S ribosomal protein S16,Propithecus coquereli,6.845649999999999e-87,660.0
XP_004427038.1, PREDICTED: 28S ribosomal protein S16,Ceratotherium simum simum,6.997559999999999e-87,660.0
XP_004583661.1, 28S ribosomal protein S16,Ochotona princeps,8.83057e-87,660.0
XP_022446573.1, 28S ribosomal protein S16,Delphinapterus leucas,1.23819e-86,659.0
XP_004701218.1, 28S ribosomal protein S16,Echinops telfairi,1.79818e-86,658.0
XP_006915581.1, 28S ribosomal protein S16,Pteropus alecto,1.8180199999999998e-86,658.0
XP_040591884.1, 28S ribosomal protein S16,Mesocricetus auratus,2.00676e-86,657.0
XP_024596703.1, 28S ribosomal protein S16,Neophocaena asiaeorientalis asiaeorientalis,2.3400199999999997e-86,657.0
